t,u
7.400000000000000355e+00,3.511480871073280764e-03
7.450000000000000178e+00,5.538955164920872885e-03
7.500000000000000000e+00,5.080237814092992271e-03
7.550000000000000711e+00,2.204375454340177631e-03
7.600000000000000533e+00,-2.838155613076835584e-03
7.650000000000000355e+00,-9.634140607249057700e-03
7.700000000000000178e+00,-1.763844752833896787e-02
7.750000000000000000e+00,-2.621468129540252198e-02
7.800000000000000711e+00,-3.468264069494286089e-02
7.850000000000000533e+00,-4.236904104340959848e-02
7.900000000000000355e+00,-4.865772206483125195e-02
7.950000000000000178e+00,-5.303559885248140815e-02
8.000000000000000000e+00,-5.513093106128552634e-02
8.050000000000000711e+00,-5.474105801810662253e-02
8.099999999999999645e+00,-5.184753256725930376e-02
8.150000000000000355e+00,-4.661752567096011379e-02
8.200000000000001066e+00,-3.939139705788821666e-02
8.250000000000000000e+00,-3.065735829056233028e-02
8.300000000000000711e+00,-2.101511665513143209e-02
8.349999999999999645e+00,-1.113120956279778535e-02
8.400000000000000355e+00,-1.689358478006915696e-03
8.450000000000001066e+00,6.660457405051028144e-03
8.500000000000000000e+00,1.335041209617114123e-02
8.550000000000000711e+00,1.793712019002473290e-02
8.599999999999999645e+00,2.013464893464974800e-02
8.650000000000000355e+00,1.983579453975633719e-02
8.700000000000001066e+00,1.712003697193362900e-02
8.750000000000000000e+00,1.224758036872057067e-02
8.800000000000000711e+00,5.639923276246079642e-03
8.849999999999999645e+00,-2.151593119770543131e-03
8.900000000000000355e+00,-1.048691457041141945e-02
8.950000000000001066e+00,-1.868501563747274399e-02
9.000000000000000000e+00,-2.607469552431654347e-02
9.050000000000000711e+00,-3.204464190410041824e-02
9.099999999999999645e+00,-3.608903134358745074e-02
9.150000000000000355e+00,-3.784526758894351389e-02
9.200000000000001066e+00,-3.712104496396312348e-02
9.250000000000000000e+00,-3.390871975626918305e-02
9.300000000000000711e+00,-2.838591843330054779e-02
9.349999999999999645e+00,-2.090233733221382589e-02
9.400000000000000355e+00,-1.195371765061754507e-02
9.450000000000001066e+00,-2.144935420884910848e-03
9.500000000000000000e+00,7.855042562638364298e-03
9.550000000000000711e+00,1.736297964401701394e-02
9.600000000000001421e+00,2.573225378566271204e-02
9.650000000000000355e+00,3.240101310863546108e-02
9.700000000000001066e+00,3.693401336856554085e-02
9.750000000000000000e+00,3.905501914304032596e-02
9.800000000000000711e+00,3.866735381568166957e-02
9.850000000000001421e+00,3.586106674092676139e-02
9.900000000000000355e+00,3.090618342736125776e-02
9.950000000000001066e+00,2.423254184366226832e-02
1.000000000000000000e+01,1.639771771984857573e-02
